STATE,STATE_FIPS,YEAR,EVENT_TYPE,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,BEGIN_LAT,BEGIN_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,PROP_DAMAGE_USD,ALL_INJ,ALL_DEATH,EVENT_TYPE_F,TOTAL_HARM
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,1.00K,32.83,-80.57,"The combination of strong forcing, instability, and ambient shear combined to produce a significant threat of severe weather across southeast South Carolina during the afternoon hours. As thunderstorms moved across the area, several instances of damaging wind gusts and large hail were reported.",Colleton County Emergency Management reported a tree down on Highway 64 near Ravenwood Plantation.,1000,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,0.00K,34.47,-81.59,"A significant severe weather event featuring multiple rounds of thunderstorms occurred on May 9th, 2024. The first round, a QLCS, produced three tornadoes in the Midlands of South Carolina.",Newberry County EM reported trees and power lines down at Colonial Dr. and SC-121.  Time estimated based on radar.,0,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,0.00K,34.42,-81.58,"A significant severe weather event featuring multiple rounds of thunderstorms occurred on May 9th, 2024. The first round, a QLCS, produced three tornadoes in the Midlands of South Carolina.",Newberry County EM reported a tree down at Indian Creek Rifle Range. Time estimated  based on radar.,0,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,0.00K,34.32,-81.75,"A significant severe weather event featuring multiple rounds of thunderstorms occurred on May 9th, 2024. The first round, a QLCS, produced three tornadoes in the Midlands of South Carolina.",SC Dept. of Public Safety reported a tree in the roadway. Time estimated by radar.,0,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,0.00K,34.04,-81.86,"A significant severe weather event featuring multiple rounds of thunderstorms occurred on May 9th, 2024. The first round, a QLCS, produced three tornadoes in the Midlands of South Carolina.",Saluda County dispatch reported a tree down along Greenwood Highway. Time estimated by radar.,0,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,0.00K,34.32,-81.71,"A significant severe weather event featuring multiple rounds of thunderstorms occurred on May 9th, 2024. The first round, a QLCS, produced three tornadoes in the Midlands of South Carolina.",SC Dept. of Public Safety reported a tree in the roadway. Time estimated by radar.,0,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,0.00K,34.29,-81.63,"A significant severe weather event featuring multiple rounds of thunderstorms occurred on May 9th, 2024. The first round, a QLCS, produced three tornadoes in the Midlands of South Carolina.",Newberry County dispatch reported trees down at 2nd Street and Digby Street. Time estimated by radar.,0,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,0.00K,34.18,-82.02,A line of strong to briefly severe thunderstorms moved across the South Carolina Piedmont during the morning. A small area of damaging winds was reported in Greenwood County.,Utility company reported trees blown down on power lines in the Ninety Six area.,0,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,0.00K,34.55,-82.01,"A couple of waves of strong to severe thunderstorms moved into upstate South Carolina  from north Georgia and western North Carolina...one during the afternoon and evening of the 8th, and another during the early morning of the 9th. Scattered severe storms produced large hail and isolated swaths of damaging winds over the Upstate and the eastern Piedmont.",A mesonet station operated by the Department of Transportation measured a gust of 60 mph at I-385 and Highway 221. A few trees were blown down along the I-385 corridor in the same general area.,0,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,0.00K,34.42,-81.81,"A couple of waves of strong to severe thunderstorms moved into upstate South Carolina  from north Georgia and western North Carolina...one during the afternoon and evening of the 8th, and another during the early morning of the 9th. Scattered severe storms produced large hail and isolated swaths of damaging winds over the Upstate and the eastern Piedmont.",Public reported trees and power lines blown down along Highway 66 in the Joanna area.,0,0,0,Thunderstorm Wind,0
